	RODE 0g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
648.000000	-2.23	10.90	1.00
656.000000	-0.18	11.11	0.99
664.000000	-0.04	12.08	1.00
672.000000	-1.35	-4.23	0.99
680.000000	0.08	-3.94	0.99
688.000000	-0.58	5.26	0.99
696.000000	0.04	6.58	1.00
704.000000	0.12	5.89	1.00
712.000000	-0.14	4.75	1.00
720.000000	-0.27	4.64	1.00
728.000000	-0.78	2.29	1.00
736.000000	-0.94	2.07	1.00
744.000000	-1.74	6.54	1.00
752.000000	-3.73	4.68	1.00
760.000000	-2.70	16.19	0.99
768.000000	-1.27	17.71	1.00
776.000000	-0.51	21.44	1.00
784.000000	0.19	19.00	1.00
792.000000	1.03	18.66	1.00
800.000000	1.20	16.00	1.00
808.000000	1.78	8.47	1.00
816.000000	1.69	4.14	1.00
824.000000	1.63	-0.10	1.00
832.000000	0.85	-5.27	1.00
840.000000	-0.61	-1.18	1.00
848.000000	-1.23	6.74	0.98
856.000000	-1.23	-3.96	0.97
864.000000	-1.47	8.28	1.00
872.000000	-1.41	11.05	1.00
880.000000	-2.01	12.23	1.00
888.000000	-1.09	12.03	1.00
896.000000	-1.04	15.24	1.00
904.000000	-0.57	15.93	1.00
912.000000	0.09	15.59	1.00
920.000000	0.41	16.17	1.00
928.000000	0.79	13.06	1.00
936.000000	1.37	10.01	1.00
944.000000	1.66	7.74	1.00
952.000000	1.14	3.04	1.00
960.000000	0.37	1.08	1.00
968.000000	0.10	1.16	1.00
976.000000	-0.31	2.07	1.00
984.000000	-0.55	2.02	1.00
992.000000	-0.57	5.25	1.00
1000.000000	-0.57	6.74	1.00
1008.000000	-0.59	8.73	1.00
1016.000000	-0.52	9.47	1.00
1024.000000	-0.43	9.90	1.00
1032.000000	-0.53	9.37	1.00
1040.000000	-0.54	9.94	1.00
1048.000000	-0.49	10.79	1.00
1056.000000	-0.49	12.85	1.00
1064.000000	-0.14	17.46	0.99
1072.000000	1.20	24.73	0.98
1080.000000	1.34	25.20	0.92
1088.000000	3.91	10.20	0.99
1096.000000	2.92	-2.22	0.98
1104.000000	0.85	-4.85	1.00
1112.000000	0.12	-6.86	1.00
1120.000000	-0.39	-4.45	1.00
1128.000000	-0.91	-4.89	1.00
1136.000000	-1.16	-5.04	1.00
1144.000000	-1.66	-1.56	1.00
1152.000000	-1.81	2.07	1.00
1160.000000	-1.66	8.22	1.00
1168.000000	-1.40	11.04	1.00
1176.000000	-0.95	13.38	1.00
1184.000000	-0.68	13.66	1.00
1192.000000	-0.60	13.49	1.00
1200.000000	-0.13	13.17	1.00
1208.000000	0.07	11.93	1.00
1216.000000	0.11	10.40	1.00
1224.000000	0.23	9.80	1.00
1232.000000	0.30	9.05	1.00
1240.000000	0.25	7.64	1.00
1248.000000	0.08	6.44	1.00
1256.000000	-0.19	6.41	1.00
1264.000000	-0.37	6.50	1.00
1272.000000	-0.51	7.94	1.00
1280.000000	-0.53	8.88	1.00
1288.000000	-0.53	9.96	1.00
1296.000000	-0.31	10.55	1.00
1304.000000	0.14	9.60	1.00
1312.000000	0.36	7.73	1.00
1320.000000	0.17	5.02	1.00
1328.000000	0.01	5.48	1.00
1336.000000	-0.30	4.31	1.00
1344.000000	-0.66	4.62	1.00
1352.000000	-1.17	5.87	1.00
1360.000000	-1.47	7.31	1.00
1368.000000	-1.44	10.05	1.00
1376.000000	-1.49	11.40	1.00
1384.000000	-1.63	14.16	1.00
1392.000000	-1.78	19.44	1.00
1400.000000	-1.59	24.00	1.00
1408.000000	-0.44	25.82	0.99
1416.000000	0.52	25.93	1.00
1424.000000	1.34	25.18	1.00
1432.000000	2.13	22.72	1.00
1440.000000	3.63	17.70	0.99
1448.000000	4.39	7.97	0.97
1456.000000	3.30	-4.06	0.96
1464.000000	1.21	-11.98	0.98
1472.000000	-0.79	-15.42	0.98
1480.000000	-1.92	-12.36	0.99
1488.000000	-2.68	-8.12	1.00
1496.000000	-3.44	-0.18	1.00
1504.000000	-3.80	12.55	0.99
1512.000000	-3.08	21.99	0.99
1520.000000	-1.96	23.22	1.00
1528.000000	-1.01	23.03	1.00
1536.000000	-0.50	22.02	1.00
1544.000000	-0.26	20.68	1.00
1552.000000	-0.07	20.37	1.00
1560.000000	0.31	19.90	1.00
1568.000000	0.54	18.35	1.00
1576.000000	0.78	16.90	1.00
1584.000000	0.96	14.41	1.00
1592.000000	1.00	11.01	1.00
1600.000000	0.87	8.08	1.00
1608.000000	0.37	4.77	1.00
1616.000000	0.02	3.79	1.00
1624.000000	-0.40	5.91	1.00
1632.000000	-0.66	6.97	1.00
1640.000000	-0.97	7.26	1.00
1648.000000	-1.32	9.77	1.00
1656.000000	-1.23	13.30	1.00
1664.000000	-1.16	16.30	1.00
1672.000000	-1.00	18.14	1.00
1680.000000	-0.78	19.75	1.00
1688.000000	-0.55	21.47	1.00
1696.000000	-0.11	23.36	1.00
1704.000000	0.37	22.96	1.00
1712.000000	0.38	20.45	1.00
1720.000000	0.38	19.24	1.00
1728.000000	0.43	19.27	1.00
1736.000000	0.58	18.78	1.00
1744.000000	0.80	17.59	1.00
1752.000000	0.89	15.76	1.00
