	45° s filtrar		
Frequency (Hz)	Level (dB)
11465.024840	21.39
11631.212760	22.10
11799.809609	22.02
11970.850305	25.23
12144.370271	25.30
12320.405445	26.10
12498.992285	27.15
12680.167779	27.14
12863.969449	25.66
13050.435363	23.79
13239.604139	24.61
13431.514956	25.47
13626.207560	25.36
13823.722274	25.68
14024.100004	23.47
14227.382252	21.98
14433.611118	21.12
14642.829314	21.53
14855.080172	21.38
15070.407650	21.31
15288.856344	22.18
15510.471498	18.62
15735.299010	17.12
15963.385443	18.97
16194.778036	17.92
16429.524714	18.67
16667.674093	17.88
16909.275497	17.74
17154.378963	17.35
17403.035256	15.75
17655.295873	14.24
17911.213060	15.04
18170.839820	14.71
18434.229924	14.36
18701.437922	13.63
18972.519156	13.73
19247.529769	15.33
19526.526718	15.31
19809.567786	14.49
20096.711592	13.18
20388.017608	13.03
20683.546166	12.50
20983.358471	12.67
21287.516618	12.76
21596.083601	11.29
21909.123326	12.46
22226.700627	12.86
