Frequency(Hz), Magnitude(ohm), Phase(deg)
2435.707, 36.930, 53.154
2471.087, 37.084, 53.102
2506.981, 37.495, 53.159
2543.397, 37.851, 53.415
2580.342, 38.101, 53.287
2617.823, 38.537, 53.408
2655.848, 38.987, 53.388
2694.426, 39.229, 53.668
2733.565, 39.628, 53.468
2773.272, 40.012, 53.549
2813.555, 40.443, 53.455
2854.424, 40.756, 53.515
2895.887, 41.113, 53.638
2937.951, 41.528, 53.566
2980.627, 41.924, 53.587
3023.923, 42.297, 53.819
3067.847, 42.734, 53.804
3112.410, 43.147, 53.824
3157.620, 43.488, 53.703
3203.487, 43.845, 53.802
3250.019, 44.307, 53.910
3297.228, 44.643, 53.797
3345.123, 45.247, 53.945
3393.713, 45.559, 53.935
3443.009, 45.954, 54.089
3493.021, 46.512, 53.808
3543.760, 46.952, 53.951
3595.235, 47.342, 53.999
3647.458, 47.706, 54.077
3700.440, 48.140, 54.104
3754.192, 48.529, 53.952
3808.724, 49.067, 54.036
3864.048, 49.384, 53.941
3920.176, 50.002, 54.043
3977.119, 50.407, 53.927
4034.890, 50.905, 54.065
4093.499, 51.248, 54.115
4152.960, 51.802, 53.996
4213.285, 52.390, 53.998
4274.485, 52.836, 54.117
4336.576, 53.183, 54.021
4399.567, 53.719, 54.132
4463.474, 54.131, 53.956
4528.309, 54.708, 54.289
4594.086, 55.195, 54.189
4660.818, 55.800, 54.204
4728.520, 56.196, 54.154
4797.205, 56.716, 54.198
4866.887, 57.258, 54.066
4937.582, 57.694, 54.222
5009.304, 58.360, 54.116
5082.067, 58.735, 54.084
5155.888, 59.348, 54.204
5230.781, 59.971, 54.077
5306.762, 60.451, 54.077
5383.846, 61.048, 54.189
5462.050, 61.625, 54.146
5541.390, 62.057, 54.127
5621.883, 62.538, 54.086
5703.544, 63.172, 54.192
5786.392, 63.805, 54.083
5870.443, 64.234, 54.180
5955.716, 65.023, 54.170
6042.227, 65.413, 54.010
6129.994, 66.111, 54.160
6219.037, 66.502, 54.174
6309.372, 67.362, 54.078
6401.021, 67.823, 54.077
6494.000, 68.385, 54.053
6588.329, 69.064, 53.997
6684.029, 69.689, 54.006
6781.120, 70.298, 54.133
6879.620, 70.945, 54.006
6979.551, 71.437, 53.982
7080.934, 72.168, 54.165
7183.790, 72.883, 54.028
7288.139, 73.506, 53.994
7394.004, 74.192, 53.970
7501.407, 74.837, 53.980
7610.370, 75.400, 53.968
7720.916, 76.109, 53.902
7833.067, 76.794, 53.855
7946.848, 77.414, 53.885
8062.282, 78.026, 53.953
8179.392, 78.758, 53.893
8298.203, 79.504, 53.891
8418.740, 80.254, 53.808
8541.028, 80.896, 53.929
8665.093, 81.695, 53.978
8790.959, 82.426, 53.865
8918.654, 83.098, 53.976
9048.203, 83.730, 53.901
9179.635, 84.432, 53.881
9312.976, 85.147, 53.880
9448.253, 85.838, 53.857
9585.495, 86.596, 53.810
9724.730, 87.484, 53.834
9865.989, 88.329, 53.824
10009.300, 88.937, 53.904
10154.691, 89.702, 53.799
10302.195, 90.473, 53.740
10451.842, 91.228, 53.819
10603.662, 92.104, 53.852
10757.688, 92.889, 53.747
10913.950, 93.566, 53.761
11072.483, 94.423, 53.819
11233.318, 95.167, 53.691
11396.490, 96.098, 53.675
11562.032, 96.865, 53.731
11729.979, 97.811, 53.750
11900.364, 98.430, 53.718
12073.226, 99.303, 53.781
12248.598, 100.126, 53.683
12426.517, 101.111, 53.712
12607.021, 101.635, 53.780
12790.146, 102.675, 53.776
12975.932, 103.644, 53.733
13164.416, 104.620, 53.671
13355.639, 105.416, 53.682
13549.639, 106.260, 53.716
13746.456, 107.204, 53.652
13946.133, 108.181, 53.761
14148.710, 108.920, 53.668
14354.229, 110.136, 53.669
14562.734, 110.750, 53.698
14774.269, 111.947, 53.702
14988.875, 112.721, 53.658
15206.599, 113.637, 53.716
15427.485, 114.621, 53.613
15651.580, 115.501, 53.726
15878.930, 116.622, 53.809
16109.582, 117.462, 53.706
16343.585, 118.660, 53.717
16580.986, 119.557, 53.759
16821.838, 120.551, 53.742
17066.186, 121.695, 53.787
17314.084, 122.601, 53.850
17565.582, 123.736, 53.840
17820.734, 124.760, 53.801
18079.594, 125.837, 53.835
18342.213, 126.734, 53.898
18608.645, 128.048, 53.878
18878.949, 129.069, 53.800
19153.178, 130.184, 53.943
19431.391, 131.362, 53.925
19713.646, 132.489, 53.926
20000.000, 134.142, 53.227
