	RODE 165g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
864.000000	-3.64	179.77	1.00
872.000000	-3.19	-177.82	1.00
880.000000	-2.55	-174.33	1.00
888.000000	-2.82	-170.94	1.00
896.000000	-2.88	-170.65	1.00
904.000000	-1.86	-167.75	1.00
912.000000	-1.65	-165.52	1.00
920.000000	-1.31	-165.34	1.00
928.000000	-0.10	-165.50	0.99
936.000000	0.62	-170.14	1.00
944.000000	0.71	-174.96	1.00
952.000000	0.29	175.11	1.00
960.000000	-1.10	174.21	1.00
968.000000	-1.45	173.79	1.00
976.000000	-1.40	173.95	1.00
984.000000	-2.09	174.42	1.00
992.000000	-2.70	174.70	1.00
1000.000000	-2.83	175.53	1.00
1008.000000	-2.46	-179.54	1.00
1016.000000	-2.42	-178.17	1.00
1024.000000	-2.28	-177.58	1.00
1032.000000	-2.12	-177.16	1.00
1040.000000	-2.45	-175.47	1.00
1048.000000	-2.47	-173.53	1.00
1056.000000	-2.50	-171.55	1.00
1064.000000	-2.04	-167.45	1.00
1072.000000	-0.62	-162.52	1.00
1080.000000	0.29	-158.42	0.99
1088.000000	-0.30	-162.15	0.94
1096.000000	0.18	168.28	0.98
1104.000000	-0.26	163.71	1.00
1112.000000	-1.24	166.84	1.00
1120.000000	-1.70	167.20	1.00
1128.000000	-2.08	166.57	1.00
1136.000000	-2.55	166.04	1.00
1144.000000	-3.53	169.99	1.00
1152.000000	-4.16	176.44	1.00
1160.000000	-3.55	-176.54	1.00
1168.000000	-3.23	-173.44	1.00
1176.000000	-2.42	-173.53	1.00
1184.000000	-2.27	-172.78	1.00
1192.000000	-1.90	-174.67	1.00
1200.000000	-1.45	-175.74	1.00
1208.000000	-1.45	-177.05	1.00
1216.000000	-1.50	-178.65	1.00
1224.000000	-1.33	-176.99	1.00
1232.000000	-1.12	-178.77	1.00
1240.000000	-1.16	178.95	1.00
1248.000000	-1.23	176.37	1.00
1256.000000	-1.68	175.24	1.00
1264.000000	-1.88	174.08	1.00
1272.000000	-2.14	174.11	1.00
1280.000000	-2.37	176.39	1.00
1288.000000	-2.53	178.74	1.00
1296.000000	-2.35	-178.79	1.00
1304.000000	-1.98	-178.33	1.00
1312.000000	-1.46	177.37	1.00
1320.000000	-1.64	174.91	1.00
1328.000000	-1.74	173.94	1.00
1336.000000	-1.94	172.45	1.00
1344.000000	-2.09	171.44	1.00
1352.000000	-2.48	172.26	1.00
1360.000000	-3.22	175.52	1.00
1368.000000	-3.64	177.49	1.00
1376.000000	-4.06	179.71	1.00
1384.000000	-4.91	-176.10	1.00
1392.000000	-4.57	-169.94	1.00
1400.000000	-3.82	-160.60	0.99
1408.000000	-2.24	-157.36	1.00
1416.000000	-1.35	-161.24	1.00
1424.000000	-0.59	-162.70	1.00
1432.000000	0.68	-164.62	0.99
1440.000000	1.66	-172.25	0.99
1448.000000	1.73	-177.84	0.98
1456.000000	1.53	170.41	0.97
1464.000000	-0.10	155.21	0.98
1472.000000	-1.70	150.27	0.99
1480.000000	-3.53	152.87	0.99
1488.000000	-4.80	160.57	1.00
1496.000000	-5.47	171.48	0.99
1504.000000	-6.07	179.26	0.99
1512.000000	-6.11	-169.95	0.98
1520.000000	-4.77	-162.26	0.99
1528.000000	-3.43	-158.83	0.99
1536.000000	-2.73	-164.03	1.00
1544.000000	-2.35	-166.82	1.00
1552.000000	-1.87	-169.80	1.00
1560.000000	-1.48	-172.03	1.00
1568.000000	-1.23	-174.27	1.00
1576.000000	-1.19	-176.56	1.00
1584.000000	-1.17	179.95	1.00
1592.000000	-1.18	177.10	1.00
1600.000000	-1.36	172.66	1.00
1608.000000	-1.90	170.48	1.00
1616.000000	-2.49	170.71	1.00
1624.000000	-2.96	171.78	1.00
1632.000000	-3.35	172.44	1.00
1640.000000	-4.20	172.35	1.00
1648.000000	-4.48	175.51	1.00
1656.000000	-4.47	-179.64	1.00
1664.000000	-3.85	-176.24	1.00
1672.000000	-3.56	-174.80	1.00
1680.000000	-3.39	-173.88	1.00
1688.000000	-3.20	-172.66	1.00
1696.000000	-2.90	-171.06	1.00
1704.000000	-2.66	-171.65	1.00
1712.000000	-2.53	-174.25	1.00
1720.000000	-2.50	-174.53	1.00
1728.000000	-2.41	-174.05	1.00
1736.000000	-2.21	-173.18	1.00
1744.000000	-1.85	-173.70	1.00
1752.000000	-1.83	-175.69	1.00
1760.000000	-2.21	-179.19	1.00
1768.000000	-2.36	179.55	1.00
1776.000000	-2.77	-178.69	0.99
1784.000000	-2.67	-176.64	1.00
1792.000000	-2.03	-176.84	0.99
1800.000000	-1.72	179.82	1.00
1808.000000	-1.61	177.25	1.00
1816.000000	-1.92	175.80	1.00
1824.000000	-2.27	175.11	1.00
1832.000000	-2.65	174.59	1.00
1840.000000	-3.01	174.85	1.00
1848.000000	-3.44	176.01	1.00
1856.000000	-3.94	177.58	1.00
1866.665649	-3.56	-178.20	0.99
1893.332275	-3.48	-178.32	0.97
1919.998901	-2.80	178.88	1.00
1946.665527	-3.10	168.52	0.98
1973.332153	-0.70	-177.13	0.99
1999.998779	-3.24	179.35	0.98
2026.665405	-3.16	-169.84	0.93
2053.332031	-4.92	-152.48	0.95
2079.998779	0.31	-170.31	0.96
2106.665527	1.70	156.48	0.95
2133.332275	-4.10	165.42	0.96
2159.999023	-3.83	-177.10	0.88
2186.665771	-2.26	-158.29	0.97
2213.332520	-1.03	-175.32	0.98
2239.999268	-1.74	175.74	1.00
2266.666016	-1.74	-179.62	0.95
2293.332764	-3.72	-166.45	0.99
