Frequency(Hz), Magnitude(ohm), Phase(deg)
6219.037, 83.182, 54.358
6309.372, 84.039, 54.404
6401.021, 84.646, 54.233
6494.000, 85.814, 54.327
6588.329, 86.342, 54.144
6684.029, 87.200, 54.078
6781.120, 88.025, 54.132
6879.620, 88.720, 54.124
6979.551, 89.492, 54.040
7080.934, 90.394, 54.134
7183.790, 91.252, 54.013
7288.139, 91.688, 54.003
7394.004, 92.696, 53.955
7501.407, 93.604, 53.992
7610.370, 94.308, 53.912
7720.916, 95.305, 53.975
7833.067, 96.070, 53.826
7946.848, 96.891, 53.854
8062.282, 97.581, 53.809
8179.392, 98.568, 53.972
8298.203, 99.382, 53.805
8418.740, 100.405, 53.782
8541.028, 101.247, 53.682
8665.093, 101.940, 53.620
8790.959, 102.978, 53.643
8918.654, 103.965, 53.661
9048.203, 104.783, 53.703
9179.635, 105.575, 53.601
9312.976, 106.466, 53.510
9448.253, 107.538, 53.485
9585.495, 108.531, 53.591
9724.730, 109.284, 53.614
9865.989, 110.261, 53.491
10009.300, 111.099, 53.377
10154.691, 112.201, 53.423
10302.195, 113.238, 53.510
10451.842, 114.149, 53.277
10603.662, 115.206, 53.384
10757.688, 116.261, 53.340
10913.950, 117.037, 53.416
11072.483, 117.959, 53.395
11233.318, 119.331, 53.335
11396.490, 120.092, 53.259
11562.032, 121.098, 53.142
11729.979, 122.159, 53.170
11900.364, 123.268, 53.120
12073.226, 124.327, 53.186
12248.598, 125.467, 53.135
12426.517, 126.370, 53.048
12607.021, 127.459, 53.062
12790.146, 128.555, 53.035
12975.932, 129.774, 53.058
13164.416, 130.663, 53.021
13355.639, 131.750, 52.952
13549.639, 132.944, 53.009
13746.456, 134.097, 52.857
13946.133, 135.329, 52.941
14148.710, 136.438, 52.855
14354.229, 137.675, 52.878
14562.734, 138.680, 52.919
14774.269, 139.787, 52.764
14988.875, 141.121, 52.850
15206.599, 142.268, 52.754
15427.485, 143.787, 52.730
15651.580, 144.606, 52.745
15878.930, 146.012, 52.764
16109.582, 147.149, 52.807
16343.585, 148.436, 52.739
16580.986, 149.717, 52.711
16821.838, 150.936, 52.736
17066.186, 152.173, 52.694
17314.084, 153.572, 52.798
17565.582, 154.985, 52.647
17820.734, 156.288, 52.726
18079.594, 157.663, 52.658
18342.213, 158.972, 52.628
18608.645, 160.341, 52.676
18878.949, 161.593, 52.724
19153.178, 163.165, 52.608
19431.391, 164.582, 52.577
19713.646, 165.869, 52.619
20000.000, 167.981, 52.584
