Frequency(Hz), Magnitude(ohm), Phase(deg)
2435.707, 45.580, 54.907
2471.087, 46.055, 54.944
2506.981, 46.442, 55.021
2543.397, 46.860, 55.120
2580.342, 47.484, 55.032
2617.823, 47.834, 55.083
2655.848, 48.243, 55.081
2694.426, 48.711, 54.996
2733.565, 49.196, 55.016
2773.272, 49.653, 55.283
2813.555, 50.327, 55.099
2854.424, 50.729, 55.112
2895.887, 51.048, 55.074
2937.951, 51.596, 55.248
2980.627, 52.039, 55.058
3023.923, 52.568, 55.034
3067.847, 52.885, 55.178
3112.410, 53.683, 55.091
3157.620, 54.034, 55.075
3203.487, 54.710, 55.100
3250.019, 55.175, 55.114
3297.228, 55.741, 55.098
3345.123, 56.204, 54.968
3393.713, 56.751, 54.928
3443.009, 57.261, 55.087
3493.021, 57.906, 55.103
3543.760, 58.376, 55.057
3595.235, 58.846, 55.192
3647.458, 59.614, 55.107
3700.440, 59.867, 54.907
3754.192, 60.540, 55.077
3808.724, 61.098, 55.208
3864.048, 61.631, 55.151
3920.176, 62.288, 55.041
3977.119, 62.807, 55.074
4034.890, 63.477, 54.915
4093.499, 63.942, 54.974
4152.960, 64.408, 54.998
4213.285, 65.106, 54.926
4274.485, 65.818, 55.031
4336.576, 66.232, 54.912
4399.567, 66.916, 54.828
4463.474, 67.503, 54.951
4528.309, 68.011, 54.794
4594.086, 68.805, 54.858
4660.818, 69.457, 54.845
4728.520, 70.051, 54.872
4797.205, 70.765, 54.793
4866.887, 71.394, 54.829
4937.582, 72.048, 54.830
5009.304, 72.793, 54.650
5082.067, 73.398, 54.800
5155.888, 74.075, 54.720
5230.781, 74.755, 54.799
5306.762, 75.365, 54.754
5383.846, 76.197, 54.731
5462.050, 76.798, 54.588
5541.390, 77.384, 54.610
5621.883, 78.202, 54.680
5703.544, 78.922, 54.554
5786.392, 79.574, 54.659
5870.443, 80.316, 54.482
5955.716, 81.048, 54.513
6042.227, 81.851, 54.434
6129.994, 82.250, 54.557
6219.037, 83.209, 54.380
6309.372, 83.965, 54.434
6401.021, 84.728, 54.340
6494.000, 85.494, 54.315
6588.329, 86.151, 54.387
6684.029, 86.815, 54.191
6781.120, 87.588, 54.297
6879.620, 88.576, 54.318
6979.551, 89.264, 54.239
7080.934, 90.237, 54.039
7183.790, 90.905, 54.143
7288.139, 91.585, 54.081
7394.004, 92.369, 54.166
7501.407, 93.360, 54.180
7610.370, 94.178, 54.137
7720.916, 94.910, 54.045
7833.067, 95.862, 54.085
7946.848, 96.571, 54.001
8062.282, 97.495, 53.894
8179.392, 98.245, 53.830
8298.203, 99.173, 53.812
8418.740, 100.205, 53.836
8541.028, 101.038, 53.833
8665.093, 101.822, 53.816
8790.959, 102.884, 53.814
8918.654, 103.479, 53.764
9048.203, 104.298, 53.757
9179.635, 105.499, 53.650
9312.976, 106.568, 53.743
9448.253, 107.388, 53.729
9585.495, 108.118, 53.633
9724.730, 108.943, 53.637
9865.989, 109.953, 53.583
10009.300, 110.937, 53.558
10154.691, 111.851, 53.592
10302.195, 112.921, 53.385
10451.842, 114.173, 53.521
10603.662, 114.963, 53.604
10757.688, 115.805, 53.408
10913.950, 117.074, 53.395
11072.483, 118.154, 53.318
11233.318, 118.721, 53.382
11396.490, 119.794, 53.332
11562.032, 120.750, 53.214
11729.979, 121.899, 53.188
11900.364, 122.950, 53.171
12073.226, 123.997, 53.212
12248.598, 125.162, 53.285
12426.517, 126.203, 53.247
12607.021, 127.377, 53.184
12790.146, 128.318, 53.123
12975.932, 129.274, 53.100
13164.416, 130.380, 53.083
13355.639, 131.732, 53.121
13549.639, 132.937, 53.051
13746.456, 133.653, 53.060
13946.133, 135.028, 53.057
14148.710, 136.111, 52.975
14354.229, 137.527, 53.032
14562.734, 138.565, 52.891
14774.269, 139.691, 53.027
14988.875, 140.586, 52.972
15206.599, 142.020, 52.880
15427.485, 143.264, 52.969
15651.580, 144.368, 52.884
15878.930, 145.623, 52.951
16109.582, 147.136, 52.868
16343.585, 148.128, 52.861
16580.986, 149.210, 52.924
16821.838, 150.645, 52.844
17066.186, 152.033, 52.861
17314.084, 153.290, 52.800
17565.582, 154.607, 52.792
17820.734, 155.959, 52.820
18079.594, 157.194, 52.767
18342.213, 158.550, 52.724
18608.645, 160.145, 52.712
18878.949, 161.505, 52.826
19153.178, 162.849, 52.783
19431.391, 164.100, 52.758
19713.646, 165.732, 52.767
20000.000, 166.558, 52.932
