	58 0g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
680.000000	-0.94	-166.59	1.00
688.000000	-1.40	-166.31	1.00
696.000000	-1.45	-164.06	1.00
704.000000	-1.05	-162.81	1.00
712.000000	-0.82	-162.04	1.00
720.000000	-0.99	-166.02	1.00
728.000000	-0.98	-167.59	1.00
736.000000	-1.40	-165.42	1.00
744.000000	-1.95	-162.96	1.00
752.000000	-2.08	-162.99	1.00
760.000000	-2.03	-158.11	1.00
768.000000	-1.22	-155.30	1.00
776.000000	-1.29	-154.74	1.00
784.000000	-1.06	-154.21	1.00
792.000000	-0.77	-152.57	1.00
800.000000	0.08	-154.32	1.00
808.000000	0.95	-157.75	1.00
816.000000	0.84	-161.69	1.00
824.000000	0.40	-165.58	1.00
832.000000	-0.34	-166.81	1.00
840.000000	-0.29	-168.99	1.00
848.000000	-0.82	-166.65	1.00
856.000000	-0.90	-164.71	1.00
864.000000	-1.13	-163.89	1.00
872.000000	-1.07	-162.49	1.00
880.000000	-1.16	-161.48	1.00
888.000000	-1.35	-161.10	1.00
896.000000	-2.59	-161.86	1.00
904.000000	-0.81	-155.49	1.00
912.000000	-0.50	-155.28	1.00
920.000000	-0.24	-155.16	1.00
928.000000	-0.13	-155.28	1.00
936.000000	0.22	-152.16	1.00
944.000000	1.15	-159.92	1.00
952.000000	0.80	-164.62	1.00
960.000000	0.33	-166.74	1.00
968.000000	0.09	-165.07	1.00
976.000000	-0.14	-160.76	1.00
984.000000	-0.28	-164.35	1.00
992.000000	-0.36	-164.10	1.00
1000.000000	-0.49	-162.70	1.00
1008.000000	-0.47	-161.43	1.00
1016.000000	-0.27	-159.80	1.00
1024.000000	-0.17	-160.07	1.00
1032.000000	-0.04	-161.41	1.00
1040.000000	0.04	-159.11	1.00
1048.000000	0.33	-158.13	1.00
1056.000000	0.56	-159.65	1.00
1064.000000	0.57	-159.77	1.00
1072.000000	0.86	-158.52	1.00
1080.000000	2.04	-159.43	1.00
1088.000000	1.92	-161.50	0.99
1096.000000	1.48	-174.45	0.99
1104.000000	0.53	179.83	1.00
1112.000000	-0.44	-175.79	1.00
1120.000000	-0.72	-171.01	1.00
1128.000000	-0.27	-171.47	1.00
1136.000000	-0.40	-173.43	1.00
1144.000000	-0.63	-176.27	1.00
1152.000000	-1.09	-170.61	1.00
1160.000000	-1.16	-166.50	1.00
1168.000000	-0.89	-163.63	1.00
1176.000000	-0.75	-162.28	1.00
1184.000000	-0.51	-161.97	1.00
1192.000000	-0.22	-162.51	1.00
1200.000000	-0.11	-163.60	1.00
1208.000000	-0.28	-164.54	1.00
1216.000000	-0.34	-164.56	1.00
1224.000000	-0.34	-163.37	1.00
1232.000000	-0.28	-163.01	1.00
1240.000000	-0.04	-163.09	1.00
1248.000000	0.05	-163.24	1.00
1256.000000	-0.04	-162.48	1.00
1264.000000	-0.11	-162.38	1.00
1272.000000	-0.06	-162.11	1.00
1280.000000	0.02	-162.37	1.00
1288.000000	0.00	-162.22	1.00
1296.000000	0.15	-161.04	1.00
1304.000000	0.11	-161.14	1.00
1312.000000	0.16	-162.80	1.00
1320.000000	0.40	-164.07	1.00
1328.000000	0.33	-164.95	1.00
1336.000000	0.23	-165.48	1.00
1344.000000	-0.01	-165.08	1.00
1352.000000	-0.24	-164.09	1.00
1360.000000	-0.40	-162.74	1.00
1368.000000	-0.26	-161.14	1.00
1376.000000	-0.16	-160.21	1.00
1384.000000	-0.16	-159.00	1.00
1392.000000	-0.11	-156.36	1.00
1400.000000	0.14	-154.17	1.00
1408.000000	0.60	-152.79	1.00
1416.000000	1.15	-152.43	1.00
1424.000000	1.82	-151.89	1.00
1432.000000	2.37	-152.49	1.00
1440.000000	3.05	-155.91	1.00
1448.000000	4.19	-167.42	0.99
1456.000000	4.38	-179.72	0.97
1464.000000	2.42	176.56	0.96
1472.000000	1.05	171.12	1.00
1480.000000	0.03	174.28	1.00
1488.000000	-0.78	-179.67	1.00
1496.000000	-0.84	-173.43	1.00
1504.000000	-1.23	-169.28	1.00
1512.000000	-1.11	-164.46	1.00
1520.000000	-0.47	-159.87	1.00
1528.000000	0.05	-158.87	1.00
1536.000000	0.44	-159.61	1.00
1544.000000	0.84	-160.74	1.00
1552.000000	1.09	-161.14	1.00
1560.000000	1.27	-161.77	1.00
1568.000000	1.41	-162.59	1.00
1576.000000	1.41	-163.99	1.00
1584.000000	1.39	-163.53	1.00
1592.000000	1.68	-162.77	1.00
1600.000000	2.23	-163.13	1.00
1608.000000	2.67	-167.20	0.99
1616.000000	2.37	-171.11	1.00
1624.000000	2.04	-173.01	1.00
1632.000000	1.61	-174.94	1.00
1640.000000	1.02	-175.20	1.00
1648.000000	0.60	-173.23	1.00
1656.000000	0.45	-171.12	1.00
1664.000000	0.53	-168.69	1.00
1672.000000	0.64	-166.44	1.00
1680.000000	0.77	-165.44	1.00
1688.000000	1.09	-164.41	1.00
1696.000000	1.67	-165.11	1.00
1704.000000	1.90	-164.61	1.00
1712.000000	1.93	-165.97	1.00
1720.000000	1.79	-167.83	1.00
1728.000000	1.66	-168.07	1.00
1736.000000	1.61	-166.58	1.00
1744.000000	1.49	-165.29	1.00
1752.000000	1.62	-165.05	1.00
1760.000000	1.72	-164.41	1.00
1768.000000	1.81	-163.93	1.00
1776.000000	2.02	-164.54	1.00
1784.000000	2.38	-167.11	1.00
1792.000000	2.84	-168.91	1.00
1800.000000	2.93	-177.09	0.98
1808.000000	2.81	179.96	1.00
1816.000000	1.97	-179.02	1.00
1824.000000	1.42	-179.31	1.00
1832.000000	1.12	-177.89	1.00
1840.000000	0.97	-176.41	1.00
1848.000000	0.68	-174.97	1.00
1856.000000	0.17	-174.31	1.00
1866.665649	2.52	-165.41	0.99
1893.332275	3.11	-178.19	0.99
1919.998901	2.68	-167.70	1.00
1946.665527	2.62	-172.76	1.00
1973.332153	2.54	-175.95	1.00
1999.998779	2.57	-174.72	1.00
2026.665405	1.99	-172.45	1.00
2053.332031	2.58	-165.73	1.00
2079.998779	4.53	-176.10	0.98
2106.665527	2.97	175.58	0.99
2133.332275	1.45	-173.89	0.98
2159.999023	1.51	-171.24	0.99
2186.665771	3.07	-173.99	0.97
2213.332520	4.73	-178.51	0.99
2239.999268	3.16	173.34	1.00
2266.666016	1.82	176.15	0.98
2293.332764	2.46	179.17	1.00
2319.999512	2.54	-175.88	0.99
2346.666260	3.50	-173.71	1.00
2373.333008	4.18	176.88	0.99
2399.999756	4.56	178.82	0.99
2426.666504	3.69	156.46	1.00
2453.333252	3.20	155.42	1.00
2480.000000	0.86	173.38	0.99
2506.666748	0.50	172.17	0.97
2533.333496	5.56	168.22	0.97
2560.000244	4.28	162.50	1.00
2586.666992	2.44	150.71	0.99
2613.333740	0.89	158.94	0.99
2640.000488	2.30	172.66	0.99
2666.667236	1.87	165.64	0.99
2693.333984	4.52	-171.16	0.98
2720.000732	4.85	-177.46	0.99
2746.667480	6.57	162.71	0.99
2773.334229	2.04	148.52	0.99
2800.000977	1.12	174.32	0.99
2826.667725	1.82	174.97	1.00
2853.334473	3.76	171.26	0.99
2880.001221	3.81	176.85	1.00
2906.667969	4.78	169.62	0.97
2933.334717	4.90	152.78	0.97
2960.001465	2.95	129.67	0.94
2986.668213	1.95	157.01	1.00
3013.334961	3.46	157.41	0.98
3040.001709	5.59	172.35	1.00
3066.668457	5.48	-171.67	0.99
3093.335205	8.11	-175.77	0.98
3120.001953	6.69	147.69	0.94
3146.668701	2.74	150.95	0.99
3173.335449	3.17	171.30	0.98
3200.002197	5.56	176.48	0.99
3226.668945	6.75	166.60	0.99
3253.335693	6.89	151.03	1.00
3280.002441	5.91	144.41	1.00
3306.669189	5.52	154.68	0.99
3333.335938	2.70	151.55	1.00
3360.002686	3.03	157.30	0.99
3386.669434	4.94	163.77	0.99
3413.336182	7.72	166.05	0.97
3440.002930	6.14	142.00	0.97
3466.669678	4.92	131.37	0.99
3493.336426	5.05	133.52	0.97
3520.003174	4.47	156.32	0.94
3546.669922	5.49	151.11	0.99
3573.336670	7.61	122.90	0.65
3600.003418	8.96	103.68	0.93
3626.670166	6.43	118.62	0.99
3653.336914	3.98	128.46	0.95
3680.003662	3.51	140.08	0.96
3706.670410	4.95	156.35	0.99
3733.337158	6.34	163.86	0.97
3760.003906	6.71	148.67	0.90
3786.670654	3.85	128.54	0.98
3813.337402	3.25	125.99	1.00
3840.004150	3.70	132.96	1.00
3866.670898	4.50	143.97	1.00
3893.337646	5.73	142.74	1.00
3920.004395	6.31	137.33	1.00
3946.671143	6.16	126.89	1.00
3973.337891	6.11	121.63	1.00
4000.004639	5.03	128.74	0.99
4026.671387	3.82	137.50	1.00
4053.338135	3.27	152.58	0.98
4080.004883	6.60	168.77	0.84
4106.671387	6.28	109.77	0.97
4133.337891	5.13	114.26	0.99
4160.004395	4.29	120.36	0.99
4186.670898	4.35	127.32	0.96
4213.337402	4.65	125.25	0.98
4240.003906	4.23	116.88	0.98
4266.670410	5.25	100.98	0.96
4293.336914	4.27	112.65	0.94
4320.003418	5.15	115.27	0.98
4346.669922	5.06	109.56	1.00
4373.336426	4.62	106.76	0.99
4400.002930	4.90	101.31	0.97
4426.669434	3.88	105.63	1.00
4453.335938	3.55	105.27	1.00
4480.002441	3.09	108.74	1.00
4506.668945	2.84	108.89	1.00
4533.335449	2.23	113.22	0.99
4560.001953	2.53	116.05	1.00
4586.668457	3.72	117.47	0.99
4613.334961	3.94	115.73	0.98
4640.001465	3.64	110.94	1.00
4666.667969	3.11	112.41	1.00
4693.334473	2.76	119.78	1.00
4720.000977	3.24	121.30	1.00
4746.667480	3.62	119.24	1.00
4773.333984	3.85	118.82	1.00
4800.000488	4.08	116.84	1.00
4826.666992	4.68	107.83	0.98
4853.333496	3.99	108.99	0.99
4880.000000	4.24	117.11	0.99
4906.666504	4.75	117.18	1.00
4933.333008	5.15	117.02	1.00
4959.999512	4.71	117.38	0.99
4986.666016	4.71	111.15	1.00
5013.332520	4.76	109.33	1.00
5039.999023	5.08	109.14	1.00
5066.665527	5.24	109.28	1.00
5093.332031	5.71	105.85	0.98
5119.998535	4.94	106.37	0.99
5146.665039	4.73	100.60	1.00
5173.331543	4.75	97.78	1.00
5199.998047	4.66	95.38	1.00
5226.664551	4.49	93.87	1.00
5253.331055	4.25	93.46	1.00
5279.997559	4.14	92.36	1.00
5306.664063	3.39	93.83	1.00
5333.330566	3.28	96.57	1.00
5359.997070	3.50	96.20	1.00
5386.663574	3.74	92.23	1.00
5413.330078	3.62	92.48	1.00
5439.996582	3.57	92.97	1.00
5466.663086	3.27	91.45	1.00
5493.329590	3.06	91.51	1.00
5519.996094	3.20	92.25	0.99
5546.662598	3.80	93.29	1.00
5573.329102	4.00	91.40	1.00
5599.995605	3.50	89.66	1.00
5626.662109	2.29	88.29	0.97
5653.328613	2.08	88.42	1.00
5679.995117	2.71	88.80	0.98
5706.661621	4.18	91.11	0.99
5733.328125	3.75	86.45	0.99
5759.994629	2.95	84.46	1.00
5786.661133	2.70	84.69	1.00
5813.327637	2.55	87.74	1.00
5839.994141	3.31	91.07	0.98
5866.660645	4.15	91.97	0.99
5893.327148	4.63	90.64	1.00
5919.993652	3.96	88.14	1.00
5946.660156	3.62	85.99	0.99
5973.326660	3.67	85.64	0.99
5999.993164	3.77	85.20	1.00
6026.659668	4.09	83.98	1.00
6053.326172	4.51	82.48	1.00
6079.992676	4.34	80.99	1.00
6106.659180	3.53	78.68	1.00
6133.325684	3.44	79.70	1.00
6159.992188	3.71	80.85	1.00
6186.658691	4.26	81.52	1.00
6213.325195	4.49	80.08	1.00
6239.991699	4.08	71.77	0.97
6266.658203	3.85	68.51	1.00
6293.324707	3.69	66.04	1.00
6319.991211	3.39	65.16	0.99
6346.657715	3.56	64.80	1.00
6373.324219	3.75	64.12	1.00
6399.990723	3.55	61.58	1.00
6426.657227	3.25	60.72	1.00
6453.323730	2.90	60.10	1.00
6479.990234	2.95	61.16	1.00
6506.656738	2.97	61.44	1.00
6533.323242	3.02	59.33	1.00
6559.989746	2.97	55.64	1.00
6586.656250	2.56	52.92	1.00
6613.322754	2.08	52.12	1.00
6639.989258	1.62	52.07	1.00
6666.655762	1.47	52.81	1.00
6693.322266	1.50	52.47	1.00
6719.988770	1.68	50.72	1.00
6746.655273	2.04	48.13	0.99
6773.321777	1.41	47.28	0.97
6799.988281	-0.04	50.15	0.98
6826.654785	-0.03	49.46	0.96
6853.321289	0.11	50.15	0.99
6879.987793	-0.07	49.25	0.99
6906.654297	-0.41	48.19	1.00
6933.320801	-0.86	48.28	1.00
6959.987305	-1.34	48.61	1.00
6986.653809	-1.77	49.37	1.00
7013.320313	-1.93	49.70	0.99
7039.986816	-1.82	51.69	0.99
7066.653320	-1.98	52.04	1.00
7093.319824	-2.60	53.44	0.99
7119.986328	-3.32	58.29	1.00
7146.652832	-3.42	64.63	1.00
7173.319336	-3.01	68.25	1.00
7199.985840	-2.76	69.13	0.99
7226.652344	-2.57	70.88	0.99
7253.318848	-2.13	72.18	0.99
7279.985352	-1.60	71.44	1.00
7306.651855	-1.37	70.11	1.00
7333.318359	-1.35	69.05	1.00
7359.984863	-1.23	68.25	1.00
7386.651367	-0.94	65.49	1.00
7413.317871	-0.80	62.06	1.00
7439.984375	-1.08	60.19	1.00
7466.650879	-1.61	60.46	0.99
7493.317383	-1.75	61.03	0.99
7519.983887	-1.34	61.02	1.00
7546.650391	-1.39	60.62	1.00
7573.316895	-1.64	59.90	0.99
7599.983398	-1.83	61.87	0.99
7626.649902	-2.11	61.95	1.00
7653.316406	-2.69	60.90	1.00
7679.982910	-3.38	62.18	1.00
7706.649414	-3.89	65.37	0.99
7733.315918	-2.93	67.31	1.00
7759.982422	-3.01	72.64	0.98
7786.648926	-3.59	73.55	1.00
7813.315430	-3.67	75.62	0.99
7839.981934	-3.17	78.16	1.00
7866.648438	-2.73	79.90	1.00
7893.314941	-2.37	80.81	1.00
7919.981445	-1.93	81.94	1.00
7946.647949	-1.43	81.27	0.99
7973.314453	-1.44	79.48	1.00
7999.980957	-1.47	79.67	1.00
8026.647461	-1.06	80.96	1.00
8053.313965	-0.24	82.18	1.00
8079.980469	0.29	81.09	1.00
8106.646973	0.48	79.53	1.00
8133.313477	0.53	79.20	1.00
8159.979980	0.65	80.42	0.98
8186.646484	0.79	82.21	0.99
8213.313477	1.33	79.91	1.00
8239.980469	1.64	77.74	1.00
8266.647461	1.71	75.53	1.00
8293.314453	1.59	75.02	1.00
8319.981445	1.32	76.34	1.00
8346.648438	1.33	77.23	1.00
8373.315430	1.69	75.84	0.98
8399.982422	2.45	73.44	1.00
8426.649414	2.66	71.80	1.00
8453.316406	2.82	71.11	1.00
8479.983398	3.02	70.86	1.00
8506.650391	3.23	71.01	1.00
8533.317383	3.59	70.07	1.00
8559.984375	3.97	67.75	1.00
8586.651367	3.98	64.49	1.00
8613.318359	3.70	61.98	0.99
8639.985352	3.54	61.80	0.99
8666.652344	3.85	62.89	1.00
8693.319336	4.36	61.43	1.00
8719.986328	4.47	59.60	1.00
8746.653320	4.52	57.55	1.00
8773.320313	4.53	54.90	1.00
8799.987305	4.46	53.62	1.00
8826.654297	4.48	53.41	1.00
8853.321289	4.53	53.58	1.00
8879.988281	4.57	52.45	1.00
8906.655273	4.56	49.67	1.00
8933.322266	4.39	47.63	1.00
8959.989258	4.46	46.10	0.99
8986.656250	4.77	46.13	1.00
9013.323242	5.38	46.82	0.99
9039.990234	5.72	48.07	0.99
9066.657227	5.53	42.07	1.00
9093.324219	5.39	38.43	1.00
9119.991211	5.28	35.45	1.00
9146.658203	5.25	33.12	1.00
9173.325195	4.99	32.09	1.00
9199.992188	5.11	29.93	0.97
9226.659180	5.55	26.80	0.99
9253.326172	5.47	24.06	1.00
9279.993164	5.01	23.03	0.99
9306.660156	4.75	23.19	0.98
9333.327148	4.94	23.60	1.00
9359.994141	4.96	21.81	1.00
9386.661133	4.97	17.86	1.00
9413.328125	4.85	14.13	1.00
9439.995117	4.80	11.96	1.00
9466.662109	4.74	10.66	0.99
9493.329102	4.75	9.68	1.00
9519.996094	4.97	7.27	1.00
9546.663086	5.19	3.32	1.00
9573.330078	5.03	-0.86	0.99
9600.000977	4.90	-7.64	0.98
9733.333984	4.48	-14.28	0.97
9866.666992	3.13	-9.10	0.99
10000.000000	1.02	-14.22	0.99
10133.333008	-0.08	-13.05	1.00
10266.666016	-0.05	-14.34	1.00
10399.999023	0.39	-16.83	1.00
10533.332031	0.13	-28.78	0.99
10666.665039	-2.30	-29.59	1.00
10799.998047	-3.03	-26.74	1.00
10933.331055	-4.30	-34.92	1.00
11066.664063	-4.04	-29.50	0.99
11199.997070	-5.24	-34.10	1.00
11333.330078	-5.76	-29.04	1.00
11466.663086	-6.81	-35.20	1.00
