Frequency(Hz),   Magnitude(dB)
 2413.262, -34.780823
 2443.305, -34.897079
 2473.721, -35.043602
 2504.515, -35.216957
 2535.693, -35.407913
 2567.260, -35.603283
 2599.219, -35.789391
 2631.576, -35.955658
 2664.335, -36.096046
 2697.503, -36.211395
 2731.084, -36.307457
 2765.082, -36.392067
 2799.504, -36.472183
 2834.354, -36.553574
 2869.638, -36.639145
 2905.362, -36.729858
 2941.530, -36.826275
 2978.148, -36.926640
 3015.222, -37.027290
 3052.758, -37.121132
 3090.761, -37.198990
 3129.237, -37.251625
 3168.192, -37.271881
 3207.632, -37.259827
 3247.563, -37.221504
 3287.991, -37.166023
 3328.923, -37.101868
 3370.364, -37.033478
 3412.320, -36.961494
 3454.799, -36.885345
 3497.807, -36.805981
 3541.351, -36.727539
 3585.436, -36.654602
 3630.070, -36.588829
 3675.260, -36.525867
 3721.012, -36.457420
 3767.334, -36.375214
 3814.233, -36.276184
 3861.715, -36.164463
 3909.789, -36.048546
 3958.460, -35.936333
 4007.738, -35.830410
 4057.630, -35.726364
 4108.142, -35.616051
 4159.283, -35.489998
 4211.061, -35.343025
 4263.483, -35.175720
 4316.559, -34.993980
 4370.294, -34.804867
 4424.699, -34.613083
 4479.781, -34.420021
 4535.548, -34.226929
 4592.010, -34.037071
 4649.175, -33.856178
 4707.051, -33.688305
 4765.648, -33.533913
 4824.975, -33.390694
 4885.039, -33.256214
 4945.852, -33.129402
 5007.421, -33.009888
 5069.757, -32.898872
 5132.870, -32.802437
 5196.768, -32.731293
 5261.460, -32.696320
 5326.959, -32.700260
 5393.273, -32.739723
 5460.413, -32.810371
 5528.388, -32.911201
 5597.209, -33.041649
 5666.887, -33.197716
 5737.433, -33.374374
 5808.857, -33.569382
 5881.169, -33.781746
 5954.383, -34.009216
 6028.507, -34.250961
 6103.555, -34.511745
 6179.536, -34.798218
 6256.464, -35.113678
 6334.349, -35.457283
 6413.204, -35.823830
 6493.040, -36.202621
 6573.870, -36.579807
 6655.706, -36.940765
 6738.562, -37.270077
 6822.448, -37.555969
 6907.379, -37.807274
 6993.367, -38.037632
 7080.426, -38.240784
 7168.568, -38.395374
 7257.808, -38.494976
 7348.158, -38.557995
 7439.633, -38.602493
 7532.248, -38.626907
 7626.015, -38.624840
 7720.949, -38.612633
 7817.065, -38.617504
 7914.377, -38.648537
 8012.901, -38.701027
 8112.652, -38.770092
 8213.645, -38.848541
 8315.894, -38.934288
 8419.416, -39.033356
 8524.228, -39.146690
 8630.343, -39.268837
 8737.780, -39.397495
 8846.555, -39.533031
 8956.683, -39.680641
 9068.182, -39.849327
 9181.069, -40.045269
 9295.362, -40.269096
 9411.078, -40.511463
 9528.233, -40.762585
 9646.849, -41.015842
 9766.939, -41.264915
 9888.525, -41.497475
10011.625, -41.682030
10136.257, -41.801720
10262.440, -41.876190
10390.195, -41.944885
10519.540, -42.021282
10650.495, -42.097778
10783.080, -42.172699
10917.316, -42.254913
11053.223, -42.361687
11190.821, -42.498672
11330.133, -42.666336
11471.179, -42.871872
11613.980, -43.104713
11758.561, -43.339279
11904.939, -43.581722
12053.141, -43.841171
12203.188, -44.125145
12355.102, -44.431396
12508.907, -44.768486
12664.627, -45.146931
12822.286, -45.569237
12981.907, -46.028366
13143.516, -46.491306
13307.136, -46.954117
13472.793, -47.417488
13640.512, -47.903061
13810.319, -48.434456
13982.240, -48.995872
14156.302, -49.590302
14332.529, -50.250145
14510.951, -51.011276
14691.595, -51.882484
14874.486, -52.855003
15059.655, -53.944756
15247.129, -55.292587
15436.937, -56.887634
15629.106, -58.652534
15823.669, -60.466820
16020.654, -62.451416
16220.091, -64.274384
16422.010, -65.765968
16626.443, -67.059586
16833.422, -67.923309
17042.977, -68.603119
17255.141, -69.225441
17469.945, -69.808685
17687.424, -70.127930
17907.609, -70.351746
18130.537, -70.394753
18356.240, -70.117989
18584.752, -69.755569
18816.107, -69.431854
19050.346, -69.122276
19287.498, -68.864624
19527.604, -68.678284
19770.697, -68.582336
20016.816, -68.549614
20266.002, -68.518997
20518.287, -68.511612
20773.715, -68.495827
21032.320, -68.473648
21294.146, -68.439194
21559.232, -68.413544
21827.617, -68.375732
22099.344, -68.376015
22374.453, -68.407715
22652.986, -68.512245
